1,Cien anios de soledad,Gabriel Garcia Marquez,Ficcion,1967
2,Don Quijote de la Mancha,Miguel de Cervantes,Ficcion,1605
3,El amor en los tiempos del colera,Gabriel Garcia Marquez,Romance,1985
4,La sombra del viento,Carlos Ruiz Zafon,Ficcion,2001
5,1984,George Orwell,Ciencia Ficcion,1949
6,El gran Gatsby,F. Scott Fitzgerald,Ficcion,1925
7,Cronica de una muerte anunciada,Gabriel Garcia Marquez,Ficcion,1981
8,La casa de los espiritus,Isabel Allende,Ficcion,1982
9,Orgullo y prejuicio,Jane Austen,Romance,1813
10,Moby Dick,Herman Melville,Aventura,1851
